R,depth,width,seed,K,s2,rel
0.8,2,4,28,-2.0,1.5065359277077244,1.3154194930336207
0.8,2,4,28,-4.0,2.2044230860437226,1.7737390849895858
0.8,2,4,28,-6.0,3.1496856357366823,2.4842308794899197
0.8,2,4,29,0.5,0.8977818842738932,0.9676965694656526
0.8,2,4,29,0.0,1.0,1.0
0.8,2,4,29,-0.5,1.1113232970947502,1.0786666729369738
0.8,2,4,29,-1.0,1.2323941181210039,1.1840141608885324
0.8,2,4,29,-2.0,1.5065359277077244,1.380167431189759
0.8,2,4,29,-4.0,2.2044230860437226,1.9949483927383411
0.8,2,4,29,-6.0,3.1496856357366823,2.8701868638266133
0.8,2,4,30,0.5,0.8977818842738932,0.9695676982312842
0.8,2,4,30,0.0,1.0,1.0
0.8,2,4,30,-0.5,1.1113232970947502,1.0507985804072693
0.8,2,4,30,-1.0,1.2323941181210039,1.1060493738960862
0.8,2,4,30,-2.0,1.5065359277077244,1.2377422894361423
0.8,2,4,30,-4.0,2.2044230860437226,1.5588752165449955
0.8,2,4,30,-6.0,3.1496856357366823,1.9755604875656947
0.8,2,4,31,0.5,0.8977818842738932,0.9941655694689624
0.8,2,4,31,0.0,1.0,1.0
0.8,2,4,31,-0.5,1.1113232970947502,1.0370780777685804
0.8,2,4,31,-1.0,1.2323941181210039,1.0766848292356272
0.8,2,4,31,-2.0,1.5065359277077244,1.157651021563463
0.8,2,4,31,-4.0,2.2044230860437226,1.341245001159876
0.8,2,4,31,-6.0,3.1496856357366823,1.5553135656042036
0.8,2,4,32,0.5,0.8977818842738932,0.9856777007627938
0.8,2,4,32,0.0,1.0,1.0
0.8,2,4,32,-0.5,1.1113232970947502,1.041974925410105
0.8,2,4,32,-1.0,1.2323941181210039,1.1564262799594356
0.8,2,4,32,-2.0,1.5065359277077244,1.4360854747839713
0.8,2,4,32,-4.0,2.2044230860437226,2.2645821253922653
0.8,2,4,32,-6.0,3.1496856357366823,3.625273345770016
0.8,2,4,33,0.5,0.8977818842738932,0.9726083974653296
0.8,2,4,33,0.0,1.0,1.0
0.8,2,4,33,-0.5,1.1113232970947502,1.0777194356904256
0.8,2,4,33,-1.0,1.2323941181210039,1.1689280138194649
0.8,2,4,33,-2.0,1.5065359277077244,1.4156116776627947
0.8,2,4,33,-4.0,2.2044230860437226,2.182911256637561
0.8,2,4,33,-6.0,3.1496856357366823,3.505616793664754
0.8,2,4,34,0.5,0.8977818842738932,0.9769558055677028
0.8,2,4,34,0.0,1.0,1.0
0.8,2,4,34,-0.5,1.1113232970947502,1.0311212431020227
0.8,2,4,34,-1.0,1.2323941181210039,1.0728876984244546
0.8,2,4,34,-2.0,1.5065359277077244,1.15189342089555
0.8,2,4,34,-4.0,2.2044230860437226,1.3402240868231792
0.8,2,4,34,-6.0,3.1496856357366823,1.5700374149832845
0.8,2,4,35,0.5,0.8977818842738932,0.9570262844822837
0.8,2,4,35,0.0,1.0,1.0
0.8,2,4,35,-0.5,1.1113232970947502,1.1659060562482244
0.8,2,4,35,-1.0,1.2323941181210039,1.3584568534660413
0.8,2,4,35,-2.0,1.5065359277077244,1.90690077667779
0.8,2,4,35,-4.0,2.2044230860437226,3.592789960757384
0.8,2,4,35,-6.0,3.1496856357366823,6.5704277220425436
0.8,2,4,36,0.5,0.8977818842738932,0.9821686464649068
0.8,2,4,36,0.0,1.0,1.0
0.8,2,4,36,-0.5,1.1113232970947502,1.0517395448587306
0.8,2,4,36,-1.0,1.2323941181210039,1.1071094611888914
0.8,2,4,36,-2.0,1.5065359277077244,1.265345766512723
0.8,2,4,36,-4.0,2.2044230860437226,1.6960990336446582
0.8,2,4,36,-6.0,3.1496856357366823,2.271610367609179
0.8,2,4,37,0.5,0.8977818842738932,0.9766601883436589
0.8,2,4,37,0.0,1.0,1.0
0.8,2,4,37,-0.5,1.1113232970947502,1.0291039110350413
0.8,2,4,37,-1.0,1.2323941181210039,1.0669867245865003
0.8,2,4,37,-2.0,1.5065359277077244,1.1322396980113933
0.8,2,4,37,-4.0,2.2044230860437226,1.3297242494112693
0.8,2,4,37,-6.0,3.1496856357366823,1.5612806958540266
0.8,2,4,38,0.5,0.8977818842738932,0.9864206690854163
0.8,2,4,38,0.0,1.0,1.0
0.8,2,4,38,-0.5,1.1113232970947502,1.030470817106743
0.8,2,4,38,-1.0,1.2323941181210039,1.0615404984685761
0.8,2,4,38,-2.0,1.5065359277077244,1.2091885913091884
0.8,2,4,38,-4.0,2.2044230860437226,1.6397611202650502
0.8,2,4,38,-6.0,3.1496856357366823,2.209019631982523
0.8,2,4,39,0.5,0.8977818842738932,0.9842993368407926
0.8,2,4,39,0.0,1.0,1.0
0.8,2,4,39,-0.5,1.1113232970947502,1.0539483777178091
0.8,2,4,39,-1.0,1.2323941181210039,1.1183313492865288
0.8,2,4,39,-2.0,1.5065359277077244,1.2543468596791718
0.8,2,4,39,-4.0,2.2044230860437226,1.587432018425632
0.8,2,4,39,-6.0,3.1496856357366823,2.023582772910708
